risk_decile,n_clients,defaults,default_rate,avg_predicted_default_prob,population_share,cumulative_population_share,default_capture_rate,cumulative_default_capture_rate,lift,cumulative_lift
1,600,424,0.7066666666666667,0.7111366282065559,0.1,0.1,0.31951770911831195,0.31951770911831195,3.1951770911831194,3.1951770911831194
2,600,256,0.4266666666666667,0.4328522212829743,0.1,0.2,0.19291635267520724,0.5124340617935192,1.9291635267520724,2.562170308967596
3,600,154,0.25666666666666665,0.2691014716692313,0.1,0.30000000000000004,0.11605124340617935,0.6284853051996986,1.1605124340617934,2.0949510173323285
4,600,105,0.175,0.19117332070603804,0.1,0.4,0.07912584777694047,0.707611152976639,0.7912584777694046,1.7690278824415975
5,600,120,0.2,0.15925625401876098,0.1,0.5,0.0904295403165034,0.7980406932931424,0.9042954031650339,1.5960813865862848
6,600,79,0.13166666666666665,0.13516537459738984,0.1,0.6,0.059532780708364735,0.8575734740015072,0.5953278070836472,1.4292891233358453
7,600,73,0.12166666666666667,0.11214877836099973,0.1,0.7,0.055011303692539565,0.9125847776940468,0.5501130369253956,1.303692539562924
8,600,51,0.085,0.08901136982970809,0.1,0.7999999999999999,0.03843255463451394,0.9510173323285607,0.38432554634513943,1.188771665410701
9,600,42,0.07,0.06724622755536995,0.1,0.8999999999999999,0.031650339110776186,0.9826676714393369,0.3165033911077619,1.09185296826593
10,600,23,0.03833333333333333,0.04770277576521345,0.1,0.9999999999999999,0.01733232856066315,1.0,0.1733232856066315,1.0000000000000002
