feature,importance_mean,importance_std
recent_delinquency_weighted,0.0419983257730802,0.003962385344810236
repay_status_sep,0.009661960006585946,0.0010329175636356934
recent_credit_utilization,0.005962969945030472,0.0012807232016622827
bill_amt_std,0.004742487225190639,0.000858756712819246
credit_limit,0.004450827929562529,0.0012653782781739977
delinquent_months,0.0032331027978877323,0.0014192881013850099
bill_amt_sep,0.002448851174256861,0.0006718013260164634
pay_amt_aug,0.002004540828511736,0.0007241590413654058
education_4,0.0018101550522482412,0.00045607071967102974
payment_to_bill_ratio,0.0016595359092002493,0.0005117752894266375
age,0.0014298014004355375,0.00013061210087179342
bill_growth_to_limit,0.0012695871406730008,0.0005164001803184009
pay_amt_jul,0.0011965513699166096,0.00030338095320449386
severe_delinquent_months,0.00101037385316185,0.001205616856415391
max_bill_amt,0.0009689939044400297,0.0005546726058722695
pay_amt_sep,0.000892507116915775,0.0003003131631128413
bill_amt_jul,0.0007339699867974448,0.0003572437522732654
avg_pay_amt,0.0006300685800888272,0.0005295609310702061
max_pay_amt,0.0006029281070963454,0.00017796630551641018
marriage_1,0.0005158947543093984,0.00026571233371036027
max_credit_utilization,0.0004765467126566003,0.0002687974250159286
marriage_2,0.00047515985545081295,0.00019851714114202978
pay_amt_jun,0.00044431034574516915,0.0003616412912415854
avg_credit_utilization,0.0004192662848078621,0.0002872536322947205
recent_payment_ratio,0.0004086068358192252,0.0003912709668816674
bill_amt_aug,0.0003755157778390306,0.00042767152044542473
bill_amt_apr,0.00030407650549395536,7.89998041127023e-05
repay_status_jul,0.00023573347249212785,0.0003403555556681366
sex_1,0.00020317458064913473,0.00040872403629179033
repay_status_jun,0.00011496401186181782,6.848948869757134e-05
mean_positive_delinquency,0.00010927144681942558,0.0001518358386341388
pay_amt_apr,8.85975987051424e-05,0.00020203504912197524
repay_status_apr,4.7185397490223655e-05,3.683629381033205e-05
total_positive_bill_amt,3.888038050199327e-05,0.00019826622655902878
repayment_status_trend,2.1270519237792663e-05,9.798719858211415e-05
bill_amt_jun,1.5255429263794085e-05,6.208316748113795e-05
bill_amt_may,1.3965329537501957e-05,0.0005604780629187943
sex_2,1.2497841098757512e-05,7.666596387507231e-05
marriage_3,0.0,0.0
total_pay_amt,0.0,0.0
max_delinquency_status,0.0,0.0
pay_amt_std,-2.5479469594857916e-06,0.000423239222021521
bill_payment_gap_to_limit,-4.499222795550928e-06,0.0002138790920329334
repay_status_aug,-1.340091090715756e-05,2.296699109293539e-05
repay_status_may,-4.249265973574889e-05,0.00012821821366822736
education_1,-5.366814861493818e-05,8.731848939345545e-05
education_2,-6.516616242577822e-05,8.342248415924557e-05
education_3,-7.903473448369613e-05,9.950463115510256e-05
avg_bill_amt,-0.0002039163879916428,0.00022469320939031987
zero_payment_months,-0.00021297933856909702,0.00037213735494955903
pay_amt_may,-0.00036442092019257634,0.00032229449631017356
