threshold,precision,recall,specificity,f1,predicted_positive_rate,false_positives,false_negatives,total_cost,cost_per_client
0.05,0.23423905768973363,0.988886796006781,0.08175057514311701,0.37876055118678303,0.933875,17163,59,17458.0,0.7274166666666667
0.055,0.24007918239572784,0.9822942173667357,0.11684768070194211,0.3858532795679035,0.9050833333333334,16507,94,16977.0,0.707375
0.060000000000000005,0.24570292153984563,0.9773968732341307,0.14771815312182335,0.3926895716664144,0.8799583333333333,15930,120,16530.0,0.68875
0.065,0.25102259446825087,0.9709926539838011,0.17709057835321812,0.3989166183014123,0.8556666666666667,15381,154,16151.0,0.6729583333333333
0.07,0.2565967693388181,0.963458278395178,0.20715852549355304,0.4052608643980509,0.8305833333333333,14819,194,15789.0,0.657875
0.07500000000000001,0.2619428807519496,0.9553588246374082,0.235407415333583,0.41115434500648507,0.8067916666666667,14291,237,15476.0,0.6448333333333334
0.08,0.26793136523499944,0.9470710114899228,0.26499384730619013,0.4176947040498442,0.7819166666666667,13738,281,15143.0,0.6309583333333333
0.085,0.27334976718707205,0.9399133546807308,0.2903001444545503,0.4235274147003904,0.760625,13265,319,14860.0,0.6191666666666666
0.09,0.27951888870066066,0.9323789790921078,0.31737199721791237,0.43009818402988964,0.737875,12759,359,14554.0,0.6064166666666667
0.095,0.2847512784751278,0.9229610096063289,0.3415012572896046,0.43522671759115333,0.717,12308,409,14353.0,0.5980416666666667
0.1,0.2900772501347386,0.9124128837822566,0.3657375207319031,0.4402035623409669,0.6957916666666667,11855,465,14180.0,0.5908333333333333
0.10500000000000001,0.29584849793350193,0.9033716330759088,0.38927826226526135,0.445724907063197,0.6754583333333334,11415,513,13980.0,0.5825
0.11,0.30152574698029244,0.8933885854209832,0.4121769835749826,0.45087694282047625,0.6554166666666666,10987,566,13817.0,0.5757083333333334
0.115,0.3071259531948462,0.8800150687511773,0.4360922369054625,0.45533843379952244,0.6338333333333334,10540,637,13725.0,0.571875
0.12000000000000001,0.31319241487120236,0.8679600678093803,0.4593654700123054,0.4602936769553491,0.6130416666666667,10105,701,13610.0,0.5670833333333334
0.125,0.32097897179829804,0.8596722546618949,0.4834412283986946,0.4674313805817288,0.5924583333333333,9655,745,13380.0,0.5575
0.13,0.32752841737102883,0.84667545677152,0.5062329463378097,0.4723375190458677,0.5718333333333333,9229,814,13299.0,0.554125
0.135,0.3338359469240048,0.8340553776605764,0.5272591086619228,0.4768211920529801,0.5526666666666666,8836,881,13241.0,0.5517083333333334
0.14,0.3414519906323185,0.8238839706159352,0.5486597827831576,0.48280810199238366,0.53375,8436,935,13111.0,0.5462916666666666
0.14500000000000002,0.34805825242718447,0.8103220945564137,0.5688834198277246,0.4869545531722225,0.515,8058,1007,13093.0,0.5455416666666667
0.15000000000000002,0.355972093805161,0.7977020154454699,0.590070087207747,0.49227013832384053,0.4957083333333333,7662,1074,13032.0,0.543
0.155,0.36388352920540257,0.7815031079299303,0.6119522764967097,0.4965591526539405,0.47508333333333336,7253,1160,13053.0,0.543875
0.16,0.37218627540326255,0.7692597475984178,0.6314268899470333,0.5016582729394423,0.4572083333333333,6889,1225,13014.0,0.54225
0.165,0.3793332070467892,0.7543793558108872,0.6494034562088706,0.5048213272830403,0.4399166666666667,6553,1304,13073.0,0.5447083333333333
0.16999999999999998,0.3867766971215247,0.741570917310228,0.6660424803381306,0.5083935950413223,0.424125,6242,1372,13102.0,0.5459166666666667
0.175,0.3965059256232121,0.7310227914861556,0.6839655449146648,0.5141418824932106,0.4078333333333333,5907,1428,13047.0,0.543625
0.18,0.4048910154173312,0.7172725560369184,0.7005510673586218,0.5176022835394862,0.391875,5597,1501,13102.0,0.5459166666666667
0.185,0.4126984126984127,0.7052175550951215,0.7149430207051523,0.520687017592657,0.378,5328,1565,13153.0,0.5480416666666666
0.19,0.4195421933720533,0.6939159917121869,0.7273019100101653,0.5229240596167495,0.365875,5097,1625,13222.0,0.5509166666666667
0.195,0.42620446533490014,0.683179506498399,0.738751270665026,0.5249294449670743,0.3545833333333333,4883,1682,13293.0,0.553875
0.2,0.43429681807141124,0.6735731776229045,0.7507891498582205,0.5280956951930886,0.34308333333333335,4658,1733,13323.0,0.555125
0.20500000000000002,0.44165417291354325,0.6658504426445658,0.760900968380504,0.5310598662961016,0.3335,4469,1774,13339.0,0.5557916666666667
0.21000000000000002,0.449115611381697,0.660011301563383,0.7700497565673319,0.5345130043474945,0.32508333333333334,4298,1805,13323.0,0.555125
0.21500000000000002,0.45513157894736844,0.6515351290261819,0.7784495211599165,0.5359051824308622,0.31666666666666665,4141,1850,13391.0,0.5579583333333333
0.22000000000000003,0.46066810344827586,0.6441891128272744,0.7857792520464395,0.5371868373517631,0.30933333333333335,4004,1889,13449.0,0.560375
0.22500000000000003,0.4674931129476584,0.6392917686946694,0.7931624846182654,0.5400588750099451,0.3025,3866,1915,13441.0,0.5600416666666667
0.22999999999999998,0.4724486927185831,0.6330759088340554,0.7992081750575143,0.5410931337036142,0.29641666666666666,3753,1948,13493.0,0.5622083333333333
0.235,0.4778481012658228,0.6257298926351479,0.8057888823497941,0.5418807601337574,0.2896666666666667,3630,1987,13565.0,0.5652083333333333
0.24,0.48174219093708753,0.6187605952156715,0.8109250441388903,0.541721635883905,0.284125,3534,2024,13654.0,0.5689166666666666
0.245,0.4870721865192049,0.6138632510830665,0.8163822160398052,0.5431666666666667,0.27879166666666666,3432,2050,13682.0,0.5700833333333334
0.25,0.49329268292682926,0.6095309851196082,0.8221603980525387,0.5452860392619429,0.2733333333333333,3324,2073,13689.0,0.570375
0.255,0.4979034011492468,0.6038802034281409,0.8270290514151196,0.5457950289410963,0.26829166666666665,3233,2103,13748.0,0.5728333333333333
0.26,0.5038192234245703,0.5963458278395178,0.8331817452249746,0.5461916673854913,0.2618333333333333,3118,2143,13833.0,0.576375
0.265,0.5082792207792208,0.5897532491994726,0.8379433952169494,0.5459935478245705,0.25666666666666665,3029,2178,13919.0,0.5799583333333334
0.27,0.5127104655001651,0.5850442644565832,0.8420630249852871,0.5464942377056391,0.2524166666666667,2952,2203,13967.0,0.5819583333333334
0.275,0.516870908175256,0.5799585609342626,0.8460221496977155,0.5466003905556541,0.24820833333333334,2878,2230,14028.0,0.5845
0.28,0.5207978179338562,0.5754379355810887,0.8496067626130223,0.5467561521252796,0.24441666666666667,2811,2254,14081.0,0.5867083333333334
0.28500000000000003,0.5247798307718874,0.5724241853456394,0.8527633620459044,0.5475675675675675,0.24129166666666665,2752,2270,14102.0,0.5875833333333333
0.29,0.5285739405662037,0.5662083254850254,0.8565619817024236,0.5467442706438705,0.23695833333333333,2681,2303,14196.0,0.5915
0.295,0.532725321888412,0.5611226219627048,0.8602000963030335,0.5465553618934043,0.233,2613,2330,14263.0,0.5942916666666667
0.3,0.5367580323107642,0.5569787153889622,0.8634636991065219,0.5466814568312073,0.22954166666666667,2552,2352,14312.0,0.5963333333333334
0.305,0.5415129151291513,0.5528348088152194,0.8670483120218286,0.5471152949948737,0.22583333333333333,2485,2374,14355.0,0.598125
0.31,0.54446732821569,0.5477491052928989,0.8698303996575892,0.5461032863849765,0.22254166666666667,2433,2401,14438.0,0.6015833333333334
0.315,0.5481298651984051,0.5437935581088718,0.8726659889786528,0.5459531013615734,0.21945833333333334,2380,2422,14490.0,0.60375
0.32,0.5501643147109995,0.536070823130533,0.8755015782997164,0.5430261400496088,0.21554166666666666,2327,2463,14642.0,0.6100833333333333
0.325,0.5565833497343042,0.5326803541156526,0.8794607030121449,0.5443695861405198,0.21170833333333333,2253,2481,14658.0,0.61075
0.33,0.559679037111334,0.5255226973064607,0.882563800759724,0.5420633378667185,0.20770833333333333,2195,2519,14790.0,0.61625
0.335,0.5618000407249033,0.5196835562252778,0.8848643732277567,0.539921722113503,0.204625,2152,2550,14902.0,0.6209166666666667
0.33999999999999997,0.5653255910410618,0.5134676963646638,0.8878604676047296,0.5381502319613068,0.20091666666666666,2096,2583,15011.0,0.6254583333333333
0.345,0.5697404515720617,0.5085703522320588,0.8909100636670055,0.5374203821656051,0.19745833333333335,2039,2609,15084.0,0.6285
0.35,0.5745001075037627,0.5032962893200226,0.8941201647851907,0.5365461847389559,0.19379166666666667,1979,2637,15164.0,0.6318333333333334
0.355,0.5799868334430547,0.49783386701827087,0.8975977743298914,0.5357794445570647,0.189875,1914,2666,15244.0,0.6351666666666667
0.36,0.583463687150838,0.49180636654737236,0.9002728585950457,0.5337285363859362,0.18645833333333334,1864,2698,15354.0,0.63975
